id_siniestro,id_poliza,fecha_siniestro,monto_siniestro,estado
1,17400,2025-10-16,2092.59,Abierto
3,15785,2025-09-19,702.27,Cerrado
8,23824,2025-01-17,2736.2,Abierto
13,3716,2025-07-13,-4274.39,Rechazado
24,17180,2025-06-13,6183.83,Cerrado
33,2231,2025-09-21,2443.9,Rechazado
36,16929,2025-01-06,3649.94,Cerrado
45,15100,2025-01-27,8761.24,Abierto
66,14064,2025-03-25,9842.05,Abierto
67,5049,2025-05-26,13.72301,Rechazado
93,1928,2025-01-31,12706.47,Abierto
99,18399,2025-06-27,2.07775,Cerrado
101,24142,2025-06-21,1602.59,Abierto
105,19541,2025-09-28,4267.91,Cerrado
114,5370,2025-03-10,7762.7,Cerrado
146,5630,2025-02-16,6370.38,Cerrado
150,14981,2025-01-31,13.41537,Rechazado
152,22723,2025-09-09,9937.98,Abierto
156,16853,2025-03-09,1390.48,Abierto
159,2123,2025-11-12,6450.16,Cerrado
160,13528,2025-03-16,3582.61,Abierto
173,11295,2025-04-24,12.08503,Rechazado
184,13385,2025-07-08,5142.95,Rechazado
191,23374,2025-06-13,14690.5,Cerrado
192,24819,2025-12-07,76429.0,Abierto
200,8648,2025-03-24,6486.31,Cerrado
206,5583,2025-03-04,11554.34,Cerrado
211,18427,2025-12-18,6.96773,Cerrado
213,1279,2025-02-07,13.11801,Rechazado
215,13337,2025-08-02,14527.75,Abierto
218,5896,2025-10-27,10531.67,Cerrado
227,2933,2025-10-17,5919.45,Cerrado
241,20874,2025-01-29,5212.81,Cerrado
281,22881,2025-11-14,197.86,Cerrado
292,15112,2025-10-01,2486.04,Cerrado
299,11447,2026-02-08,14867.64,Cerrado
311,16425,2025-05-02,10081.65,Cerrado
312,15669,2026-02-05,2986.38,Abierto
315,6480,2025-10-28,13359.79,Rechazado
324,4083,2025-03-18,10678.85,Cerrado
332,20787,2025-05-17,11131.22,Abierto
350,7943,2025-05-11,10787.07,Cerrado
352,5401,2025-11-09,14.26299,Rechazado
356,21703,2025-08-01,3.46349,Abierto
366,5844,2025-02-02,11212.65,Cerrado
367,942,2025-07-05,1374.6,Abierto
371,20612,2025-02-12,5087.67,Cerrado
384,16998,2025-09-17,8268.6,Cerrado
395,990,2025-06-11,924.16,Abierto
412,1661,2025-05-01,12937.82,Abierto
419,11189,2025-07-19,6.28641,Cerrado
471,2155,2025-01-12,5220.04,Abierto
473,6110,2025-02-02,14.43969,Rechazado
482,18388,2025-11-03,2.6241,Cerrado
487,21900,2025-11-02,14.44932,Abierto
492,5514,2025-07-05,13335.48,Cerrado
494,4271,2025-09-12,11.2075,Cerrado
499,4303,2026-02-03,6686.39,Abierto
502,8758,2026-01-02,7272.53,Abierto
523,2414,2025-08-10,13565.6,Abierto
530,19258,2025-10-10,14448.22,Abierto
538,16568,2026-02-21,80055.0,Cerrado
555,17858,2025-01-16,13960.18,Cerrado
563,18040,2025-08-03,7.77811,Rechazado
572,8028,2026-02-06,1046.73,Cerrado
578,5441,2025-05-05,6.5423,Cerrado
579,6238,2025-06-25,-67622.0,Rechazado
582,11973,2025-11-27,681.75,Abierto
614,9264,2025-09-09,1692.12,Abierto
620,17258,2025-10-14,2.92444,Cerrado
642,6639,2026-01-27,6072.88,Abierto
655,14468,2025-06-25,4379.27,Abierto
670,25645,2025-07-26,5730.79,Abierto
680,7570,2025-12-28,12621.97,Cerrado
692,7865,2025-05-17,7245.23,Abierto
705,13150,2025-11-12,11601.83,Rechazado
713,20970,2025-07-21,2303.55,Cerrado
714,5994,2025-04-26,10.20569,Cerrado
719,15868,2025-12-25,1394.24,Cerrado
731,22473,2025-11-12,3.12648,Cerrado
733,16099,2025-08-10,12090.96,Abierto
736,1668,2025-08-27,1066.12,Cerrado
747,2468,2025-07-01,10010.05,Rechazado
761,97,2025-03-08,12403.25,Rechazado
764,9791,2025-10-15,5691.21,Cerrado
787,15672,2025-05-24,3901.09,Cerrado
794,6939,2025-11-16,3297.63,Rechazado
795,18424,2025-03-15,7.56556,Cerrado
798,9464,2025-07-11,-9622.54,Cerrado
801,10815,2025-10-11,14958.46,Abierto
805,14256,2025-07-04,3088.12,Cerrado
807,22910,2025-07-30,13637.84,Rechazado
822,3042,2025-10-18,11626.56,Abierto
831,9957,2025-12-03,8993.77,Rechazado
832,3475,2025-12-22,9461.23,Rechazado
881,1160,2025-02-13,14837.14,Cerrado
883,8904,2025-04-27,6.13342,Cerrado
895,19216,2026-01-14,7478.23,Abierto
901,9443,2025-04-08,9.97345,Rechazado
916,21501,2025-11-06,13.5273,Abierto
928,19642,2025-10-14,3641.04,Rechazado
940,14722,2025-07-26,12050.35,Abierto
948,25579,2026-02-15,2845.66,Abierto
949,6109,2025-07-01,1755.99,Abierto
967,1199,2025-03-20,13030.52,Cerrado
978,22436,2025-03-26,8.31165,Abierto
990,5952,2025-05-04,-12.46096,Cerrado
1024,16567,2025-08-25,5252.85,Cerrado
1029,7880,2025-01-23,6128.39,Abierto
1034,2399,2025-01-20,6.49363,Rechazado
1040,20928,2025-11-20,13560.16,Rechazado
1048,649,2025-01-26,7422.33,Cerrado
1049,6326,2025-09-27,12496.34,Cerrado
1058,19074,2025-02-20,10412.27,Cerrado
1069,3723,2025-02-01,1091.83,Rechazado
1072,24530,2025-01-08,2521.52,Cerrado
1073,8355,2025-01-22,13989.65,Cerrado
1075,14674,2025-06-01,5148.29,Cerrado
1080,14736,2025-11-28,3743.04,Rechazado
1083,1337,2025-06-22,224.42,Cerrado
1090,23591,2026-02-20,8.36937,Cerrado
1095,16132,2025-12-21,13687.41,Cerrado
1099,8554,2025-07-24,13054.94,Cerrado
1100,21437,2025-03-09,4353.92,Cerrado
1101,14604,2025-01-01,9132.38,Abierto
1104,23259,2025-01-20,5724.16,Cerrado
1107,13130,2025-07-13,7.12085,Cerrado
1137,1806,2025-09-09,9.58418,Abierto
1138,17240,2025-08-08,1.17001,Cerrado
1143,3121,2025-03-12,4.45447,Cerrado
1148,1940,2025-06-10,13283.55,Cerrado
1183,5467,2026-01-28,10.47786,Abierto
1192,8295,2025-06-15,6741.92,Rechazado
1193,4216,2025-10-06,8502.18,Rechazado
1203,20049,2025-04-15,10830.41,Abierto
1216,19985,2025-07-06,11207.21,Rechazado
1232,13777,2025-05-28,14.40787,Cerrado
1237,19508,2025-12-02,9.713,Abierto
1259,3187,2025-08-27,9532.1,Rechazado
1266,9636,2025-09-06,7815.71,Cerrado
1274,22013,2025-03-27,8107.44,Abierto
1286,18053,2025-11-29,4.29928,Abierto
1288,4829,2025-06-13,221.47,Abierto
1289,17008,2025-06-04,2030.56,Abierto
1292,11117,2025-03-24,11.27292,Abierto
1305,22650,2025-04-12,3885.68,Abierto
1313,10802,2025-09-26,10.18367,Rechazado
1340,11500,2025-04-18,442.62,Cerrado
1348,5073,2025-06-18,6507.63,Abierto
1360,15434,2025-07-29,4937.06,Abierto
1383,22773,2025-01-21,11356.07,Cerrado
1385,9473,2025-10-23,1961.73,Cerrado
1392,10245,2025-10-10,13014.49,Abierto
1397,23636,2025-02-19,252.58,Abierto
1402,13617,2025-04-22,2604.92,Abierto
1412,25836,2025-06-03,2588.64,Cerrado
1432,18937,2025-07-05,4516.8,Rechazado
1440,25659,2025-08-23,13715.45,Rechazado
1448,19000,2025-09-29,1360.72,Rechazado
1449,6946,2025-03-28,11267.8,Abierto
1452,1559,2026-01-01,4642.79,Cerrado
1465,16903,2025-10-13,5932.82,Abierto
1468,15318,2025-04-18,14.27589,Abierto
1474,7678,2025-04-24,2107.21,Cerrado
1480,10246,2026-01-10,3505.6,Cerrado
1484,10128,2026-01-19,4.5753,Abierto
1495,22639,2025-09-06,1953.69,Cerrado
1501,20221,2025-08-10,14105.12,Abierto
1503,582,2025-10-22,6460.87,Abierto
1504,34,2026-01-27,14.39753,Rechazado
1505,10002,2025-08-31,9031.72,Cerrado
1506,3340,2025-07-18,4.10893,Abierto
1518,5846,2025-05-27,1332.3,Cerrado
1524,18949,2025-09-07,332.33,Abierto
1527,10146,2025-09-11,6683.03,Abierto
1539,9993,2025-12-22,9.98717,Abierto
1554,22479,2025-10-02,9268.93,Abierto
1567,18204,2025-04-22,11871.79,Abierto
1569,12496,2026-02-16,12429.33,Abierto
1575,9263,2026-02-08,6311.4,Cerrado
1580,10293,2025-01-26,14216.09,Cerrado
1587,10505,2025-05-01,1657.92,Rechazado
1608,14576,2025-11-30,13290.94,Cerrado
1616,7629,2025-11-11,10134.99,Abierto
1618,9849,2025-02-05,7766.02,Abierto
1621,13030,2025-08-25,4.11275,Cerrado
1623,5518,2025-07-04,1460.99,Abierto
1626,18422,2025-03-05,7822.31,Rechazado
1645,3536,2025-11-10,3230.94,Rechazado
1647,919,2025-09-28,13191.68,Cerrado
1659,22196,2026-01-06,1793.52,Abierto
1671,4836,2025-01-06,8522.03,Rechazado
1681,7490,2025-10-28,8987.56,Cerrado
1702,17739,2025-04-08,7793.82,Cerrado
1715,23524,2025-02-05,2104.56,Abierto
1724,9172,2026-02-13,532.22,Cerrado
1725,7908,2025-03-27,13.65309,Abierto
1733,6940,2025-01-30,11707.13,Abierto
1735,9415,2025-01-01,2671.25,Abierto
1739,5609,2025-06-04,12337.1,Cerrado
1740,2237,2025-06-28,7841.66,Rechazado
1741,25650,2025-06-28,7.2862,Abierto
1744,24671,2026-01-13,7365.8,Cerrado
1756,11179,2025-08-12,7984.57,Cerrado
1760,24629,2025-06-10,10191.94,Cerrado
1772,17743,2026-02-05,14678.53,Abierto
1797,19532,2025-03-17,8804.05,Rechazado
1798,2825,2025-07-27,9.84817,Rechazado
1799,8003,2025-11-05,8586.97,Abierto
1807,15926,2025-07-19,3.61227,Cerrado
1813,21707,2025-07-08,6.97408,Cerrado
1860,5264,2025-07-20,1160.84,Cerrado
1864,15391,2025-06-08,3382.32,Cerrado
1879,14279,2025-01-22,8.35744,Rechazado
1893,18563,2025-10-09,11684.16,Rechazado
1897,9593,2025-06-30,-7911.77,Cerrado
1911,5565,2025-10-02,6645.66,Cerrado
1918,1757,2025-05-31,12.03173,Abierto
1920,2147,2025-05-01,9.47081,Abierto
1924,12548,2025-02-14,8119.76,Cerrado
1929,21325,2025-06-06,3395.35,Abierto
1934,8622,2025-09-02,7415.47,Cerrado
1942,16781,2025-04-12,4068.51,Cerrado
1945,17433,2025-07-12,1.60287,Rechazado
1960,7060,2026-02-09,2.47899,Cerrado
1987,24279,2025-12-25,12141.05,Cerrado
1990,18160,2025-11-16,7007.9,Cerrado
1997,21701,2025-09-07,3279.91,Abierto
1999,19698,2025-09-13,12753.04,Cerrado
2021,8496,2025-04-11,10438.48,Abierto
2023,6099,2025-05-02,11576.41,Rechazado
2029,506,2025-08-16,12607.91,Abierto
2031,24413,2025-03-04,14.50439,Cerrado
2035,8993,2025-09-29,6241.75,Abierto
2048,15861,2025-02-17,5.01213,Cerrado
2049,5260,2026-02-02,2951.18,Abierto
2054,22619,2025-08-09,10.09824,Abierto
2064,4006,2025-10-19,6130.56,Abierto
2085,8290,2025-08-03,2917.9,Cerrado
2086,13810,2025-07-31,13203.88,Abierto
2101,24844,2025-06-19,1412.2,Rechazado
2104,16856,2026-02-11,4766.37,Cerrado
2109,23109,2025-02-01,10971.03,Rechazado
2111,21573,2025-07-01,2992.6,Cerrado
2127,13382,2025-08-01,14897.7,Rechazado
2149,20041,2025-10-25,11.837,Cerrado
2158,6626,2025-11-26,3.31782,Rechazado
2174,22616,2025-06-16,6605.23,Rechazado
2176,14177,2025-02-04,7436.09,Rechazado
2179,13879,2025-11-01,7.1655,Cerrado
2180,14228,2025-02-16,8440.65,Cerrado
2197,11018,2025-09-30,6670.45,Rechazado
2206,12030,2026-02-05,2.1919,Cerrado
2208,20662,2025-03-07,5471.24,Abierto
2209,15719,2025-12-19,9.52317,Rechazado
2212,3860,2025-06-10,5796.52,Abierto
2214,25517,2025-10-02,2.61555,Abierto
2222,24471,2025-11-06,13.87787,Rechazado
2239,15667,2025-01-16,6.22834,Abierto
2242,479,2025-05-03,517.9,Rechazado
2245,8411,2026-01-29,1.68898,Rechazado
2256,12348,2025-01-21,5.0443,Abierto
2257,1205,2025-11-08,14848.25,Abierto
2262,25816,2025-01-18,8126.29,Cerrado
2266,6143,2026-02-09,4990.08,Rechazado
2276,1685,2026-01-09,10.40801,Cerrado
2279,16860,2026-01-14,14.39009,Cerrado
2289,4941,2025-04-23,12277.29,Abierto
2291,23311,2025-04-13,8387.68,Cerrado
2298,17235,2025-02-26,13251.43,Abierto
2304,21139,2025-06-23,9986.27,Abierto
2307,24379,2025-11-29,13.22001,Rechazado
2326,8023,2025-10-22,12.37963,Cerrado
2330,14245,2025-07-14,12207.9,Cerrado
2335,7650,2025-07-06,13997.84,Cerrado
2340,4879,2025-12-15,269.78,Rechazado
2341,4441,2025-04-08,11469.13,Cerrado
2355,7609,2025-05-31,13465.17,Abierto
2371,17364,2025-04-01,2937.9,Cerrado
2374,12368,2026-01-13,7.4398,Abierto
2375,18434,2025-03-30,12.44143,Cerrado
2400,22636,2025-07-15,2337.9,Rechazado
2401,10658,2025-08-12,4694.99,Abierto
2403,23349,2025-11-05,10238.65,Rechazado
2405,23285,2025-08-22,12363.98,Abierto
2417,8645,2025-10-25,13797.5,Cerrado
2420,3033,2026-02-19,5.49368,Abierto
2431,24626,2025-03-04,12215.39,Cerrado
2433,10752,2025-10-05,5.36013,Abierto
2437,18266,2025-04-11,9858.65,Abierto
2444,449,2025-07-19,8903.7,Cerrado
2465,22578,2025-12-16,10105.3,Cerrado
2466,2564,2026-01-11,14850.5,Cerrado
2475,18225,2025-02-01,12121.54,Rechazado
2478,20424,2025-07-23,13068.92,Cerrado
2492,18987,2025-05-12,11.76491,Abierto
2498,9901,2025-06-12,3440.17,Abierto
2502,14352,2025-12-18,3503.37,Cerrado
2509,4641,2025-11-25,8.29288,Cerrado
2540,4243,2025-06-29,6.83204,Cerrado
2572,4226,2025-04-02,13236.79,Cerrado
2575,23247,2025-07-18,4025.27,Abierto
2577,10627,2025-06-26,3251.74,Cerrado
2579,19119,2025-06-22,14492.69,Cerrado
2597,8351,2025-09-27,12.04848,Rechazado
2598,19801,2025-03-14,4091.47,Cerrado
2610,9737,2026-02-16,8258.01,Cerrado
2612,25620,2025-10-21,11696.58,Rechazado
2624,22054,2025-05-19,10.72143,Abierto
2628,4052,2025-03-13,4.17028,Abierto
2632,11803,2025-12-03,10.07049,Rechazado
2649,3613,2025-04-29,3.35436,Abierto
2652,19024,2025-11-16,856.85,Abierto
2677,625,2025-09-25,4446.55,Abierto
2678,4753,2025-06-15,7149.11,Abierto
2679,11002,2025-01-06,2105.53,Cerrado
2692,3353,2025-06-30,11807.34,Abierto
2706,22303,2025-07-11,10234.92,Cerrado
2716,1696,2025-07-28,11568.99,Abierto
2725,16505,2025-12-14,13609.35,Abierto
2751,4497,2025-05-25,12310.45,Cerrado
2754,11729,2025-09-29,2565.88,Cerrado
2771,4647,2025-12-18,1323.37,Rechazado
2806,17943,2025-04-26,2.54862,Abierto
2830,19585,2025-08-31,1885.38,Cerrado
2843,2130,2025-11-22,3436.86,Rechazado
2847,6362,2025-12-07,6323.92,Abierto
2848,25779,2025-08-08,3.94298,Rechazado
2851,8861,2025-09-16,13669.55,Abierto
2860,1119,2025-09-29,1934.58,Abierto
2862,7748,2025-09-21,3347.82,Cerrado
2873,6575,2025-06-22,7.8055,Abierto
2877,13349,2025-04-17,-1208.59,Cerrado
2881,5503,2025-03-27,7097.28,Cerrado
2890,2339,2025-09-10,8770.42,Cerrado
2914,13403,2025-03-26,9.71428,Rechazado
2932,8501,2026-02-02,11683.33,Abierto
2936,2541,2025-08-04,6.60955,Cerrado
2942,7193,2026-01-04,10099.47,Abierto
2947,16870,2025-08-30,5115.76,Cerrado
2948,25676,2026-01-06,2.75876,Abierto
2958,11431,2025-02-27,12342.69,Abierto
2962,1306,2025-12-12,14.41399,Abierto
2964,20729,2025-12-14,1.07369,Rechazado
2976,19709,2025-02-09,7213.36,Abierto
2980,7043,2025-11-19,3187.51,Abierto
2991,9470,2025-11-22,7554.35,Rechazado
3001,25803,2026-01-18,2.70784,Cerrado
3011,5869,2025-11-13,13.50653,Cerrado
3014,24880,2026-01-30,5705.62,Cerrado
3021,11613,2025-05-12,14274.09,Rechazado
3028,18198,2026-01-23,10024.29,Cerrado
3032,12895,2025-01-09,12339.98,Abierto
3045,11399,2025-03-21,2894.12,Abierto
3059,4966,2025-05-18,14024.39,Cerrado
3060,23020,2025-01-11,4424.25,Cerrado
3072,24385,2025-02-16,12435.02,Rechazado
3083,16985,2025-09-12,9.23608,Cerrado
3102,6620,2025-08-10,3096.81,Rechazado
3117,13314,2025-10-01,1762.34,Abierto
3131,8256,2025-01-02,2.61145,Abierto
3133,21555,2026-01-13,7.14096,Abierto
3139,24013,2025-06-17,12371.67,Cerrado
3144,19326,2025-03-12,14158.42,Cerrado
3146,8251,2025-05-21,436.98,Abierto
3149,13249,2025-02-18,12350.46,Abierto
3151,25746,2025-10-12,3.86534,Abierto
3154,4309,2025-07-29,11031.29,Abierto
3164,18377,2025-05-06,12243.27,Cerrado
3170,13957,2025-06-13,11098.48,Abierto
3196,24631,2026-02-13,14526.12,Cerrado
3226,11063,2025-12-21,13.86145,Abierto
3234,17375,2025-05-21,1.71199,Abierto
3237,12586,2025-03-11,12532.65,Abierto
3267,747,2025-05-22,10037.27,Cerrado
3296,5852,2025-02-27,9266.44,Rechazado
3298,1075,2025-06-16,11128.73,Abierto
3301,20986,2025-11-20,12549.43,Abierto
3313,9552,2025-01-24,11.38225,Abierto
3323,13680,2025-03-09,4085.16,Cerrado
3330,14282,2025-04-27,11056.95,Abierto
3333,1087,2026-01-01,13560.19,Cerrado
3337,4006,2025-05-23,3075.77,Cerrado
3340,5499,2025-06-27,11180.88,Cerrado
3354,15904,2026-01-19,2286.99,Cerrado
3358,17284,2025-05-23,11598.53,Rechazado
3362,1824,2026-02-03,14979.04,Abierto
3363,6336,2025-05-01,1573.13,Abierto
3377,12590,2025-12-16,8461.62,Cerrado
3378,219,2025-02-04,5224.5,Abierto
3386,16097,2025-02-24,10189.44,Abierto
3401,6258,2025-01-30,7535.85,Cerrado
3407,13551,2025-12-01,3357.95,Rechazado
3430,19138,2025-09-21,2241.48,Abierto
3436,1639,2025-12-16,4043.53,Cerrado
3440,799,2025-05-12,5.24704,Cerrado
3445,20056,2025-11-21,5.79001,Cerrado
3450,1216,2025-01-09,9.75597,Cerrado
3463,17488,2025-07-21,4056.52,Abierto
3471,4402,2026-01-04,14.27074,Abierto
3477,12438,2025-05-26,14.79051,Cerrado
3514,19259,2025-04-01,4317.47,Cerrado
3523,1289,2025-04-22,7502.64,Rechazado
3528,4913,2025-04-05,10175.11,Cerrado
3548,24472,2026-02-24,7.7073,Abierto
3558,5085,2025-05-25,11.19309,Rechazado
3561,5797,2025-10-31,2.83708,Rechazado
3575,11023,2025-09-05,1693.18,Abierto
3578,14372,2025-12-11,3463.15,Rechazado
3581,7901,2025-08-05,12435.99,Rechazado
3609,13609,2026-02-21,14127.62,Abierto
3612,8872,2025-03-22,141.84,Cerrado
3616,2756,2025-09-09,6850.93,Abierto
3617,18681,2025-01-05,6757.93,Cerrado
3624,10481,2025-07-05,406.59,Cerrado
3635,16727,2026-02-23,14561.0,Cerrado
3658,24499,2025-08-30,8051.72,Cerrado
3662,24948,2025-11-13,5.25217,Cerrado
3668,2264,2025-04-15,14.71538,Cerrado
3676,10873,2025-10-04,13553.17,Cerrado
3678,17715,2025-05-05,1531.95,Rechazado
3681,18028,2025-12-19,2789.36,Cerrado
3685,5880,2025-05-30,10119.08,Cerrado
3687,12631,2025-04-16,11965.15,Rechazado
3694,12285,2025-07-19,6968.87,Abierto
3695,24626,2025-11-03,6461.97,Abierto
3697,70,2025-10-18,3056.8,Abierto
3703,6532,2025-03-03,6785.04,Abierto
3705,17890,2025-08-29,10237.99,Abierto
3707,11678,2025-11-12,11148.34,Cerrado
3708,3667,2025-01-27,10642.16,Cerrado
3717,14892,2026-01-25,700.31,Cerrado
3729,12049,2025-04-27,992.62,Abierto
3732,17659,2025-07-23,5901.43,Rechazado
3739,4967,2025-06-04,4403.03,Cerrado
3740,2367,2025-06-06,13572.83,Rechazado
3750,22517,2025-04-30,9767.06,Abierto
3751,19788,2025-05-02,7.42892,Cerrado
3755,4604,2025-11-19,13.77577,Abierto
3763,1704,2025-07-15,12320.51,Abierto
3769,4977,2025-11-07,14455.19,Abierto
3770,14138,2025-04-01,4.6524,Cerrado
3797,16276,2025-05-31,247.28,Cerrado
3799,24251,2025-10-30,1.9533,Cerrado
3801,8830,2025-04-25,11006.6,Abierto
3803,2350,2025-08-22,6513.24,Cerrado
3807,17630,2025-06-15,14344.65,Cerrado
3812,6378,2025-07-26,126.56,Abierto
3818,24035,2025-10-24,9.71045,Abierto
3819,18343,2025-05-09,11251.2,Cerrado
3825,5970,2025-05-04,1391.81,Abierto
3839,7205,2025-03-24,10.72202,Cerrado
3844,24397,2025-12-17,673.41,Cerrado
3872,17783,2025-08-22,4609.93,Abierto
3898,20310,2025-12-29,2.56894,Abierto
3899,17388,2025-04-26,13277.5,Abierto
3914,25744,2025-01-24,4960.45,Cerrado
3916,9475,2025-02-21,14788.84,Cerrado
3917,3586,2025-06-21,12543.32,Rechazado
3932,17046,2025-05-19,14230.21,Rechazado
3934,10194,2025-03-29,14427.22,Cerrado
3939,22679,2025-10-14,3.42381,Rechazado
3953,3625,2025-07-12,4789.06,Abierto
3956,25840,2025-07-18,595.29,Cerrado
3962,24728,2025-03-22,-9.97557,Abierto
3964,14228,2025-12-07,11452.26,Cerrado
3966,7903,2026-01-16,8987.94,Cerrado
3972,15237,2025-08-29,5647.36,Abierto
3985,14890,2025-02-01,4.23311,Abierto
4002,2692,2026-02-05,3239.02,Cerrado
4005,21732,2025-05-18,4388.31,Abierto
4026,12992,2025-06-26,9131.55,Cerrado
4028,17745,2025-12-19,76952.0,Cerrado
4029,4185,2025-03-16,12036.71,Cerrado
4048,14037,2025-11-10,210.49,Abierto
4059,8137,2025-01-13,3084.8,Abierto
4066,23425,2025-02-12,1239.42,Rechazado
4069,17063,2025-12-06,10230.93,Cerrado
4089,20437,2025-09-27,8482.4,Cerrado
4100,11101,2026-02-13,8.08976,Cerrado
4106,3880,2026-02-22,3.57306,Abierto
4108,2167,2025-06-09,7320.67,Abierto
4117,17179,2025-06-12,11132.46,Cerrado
4120,1894,2025-06-08,13.26893,Rechazado
4130,13332,2025-04-01,5304.16,Cerrado
4141,7754,2025-01-05,9.32754,Abierto
4149,10041,2025-04-23,12.26533,Abierto
4174,6308,2025-10-19,5615.52,Abierto
4175,10195,2026-02-24,6346.52,Abierto
4176,11532,2025-05-04,7.05985,Cerrado
4187,22597,2025-12-07,2577.14,Abierto
4192,11655,2025-03-13,7881.43,Cerrado
4195,6685,2025-04-16,9.26669,Cerrado
4205,6686,2026-01-10,11494.9,Cerrado
4218,11744,2025-07-19,11.36446,Cerrado
4221,18407,2025-08-05,9420.79,Abierto
4222,19431,2025-12-13,8156.76,Abierto
4224,15592,2026-01-11,4653.24,Cerrado
4254,10627,2025-10-18,7291.11,Abierto
4260,13057,2025-07-15,5.62448,Cerrado
4276,276,2025-07-21,462.82,Cerrado
4279,17649,2025-09-15,1988.72,Cerrado
4283,20764,2025-10-06,-3.81207,Abierto
4290,5842,2025-06-26,11496.08,Cerrado
4292,25503,2025-09-06,11.10363,Cerrado
4311,10133,2025-09-16,2926.38,Abierto
4326,23593,2025-03-08,14.50017,Cerrado
4330,19032,2025-08-06,279.77,Abierto
4335,5364,2025-07-29,6.89005,Abierto
4338,21930,2025-07-26,877.1,Cerrado
4361,25844,2026-01-30,9380.77,Abierto
4373,8367,2025-03-09,5896.25,Abierto
4380,1604,2025-04-04,9769.46,Cerrado
4383,19838,2025-03-20,4066.36,Abierto
4388,1592,2025-11-12,11.20746,Cerrado
4389,5850,2025-01-01,745.06,Cerrado
4399,20171,2025-02-01,2.7989,Cerrado
4407,10493,2025-04-07,2.08007,Rechazado
4421,19774,2025-02-05,3602.42,Rechazado
4424,24684,2025-11-20,5331.65,Abierto
4426,22702,2025-09-13,8845.67,Rechazado
4446,8727,2025-04-26,10385.92,Cerrado
4458,18014,2025-05-05,8.52145,Rechazado
4461,19108,2026-01-07,5111.68,Rechazado
4507,11613,2025-05-12,14274.09,Rechazado
4528,10627,2025-10-18,7291.11,Abierto
4557,20310,2025-12-29,2.56894,Abierto
4571,18563,2025-10-09,11684.16,Rechazado
4577,17008,2025-06-04,2030.56,Abierto
4580,23259,2025-01-20,5724.16,Cerrado
4584,5850,2025-01-01,745.06,Cerrado
4587,20874,2025-01-29,5212.81,Cerrado
4607,12631,2025-04-16,11965.15,Rechazado
4620,10815,2025-10-11,14958.46,Abierto
